# ATOM = 2 (spec = C )
# NDIV =     2000 dE=      0.01500750
#    energy (ev)        dos_total           orb-1            orb-2            orb-3            orb-4
    -16.75837919       0.16192742      0.12606269       0.01793212       0.01793260       0.00000000
    -16.74337169       0.16195785      0.12591645       0.01802030       0.01802110       0.00000000
    -16.72836418       0.16197712      0.12576228       0.01810688       0.01810795       0.00000000
    -16.71335668       0.16198325      0.12559850       0.01819173       0.01819302       0.00000000
    -16.69834917       0.16198080      0.12542844       0.01827546       0.01827689       0.00000000
    -16.68334167       0.16197890      0.12525905       0.01835919       0.01836067       0.00000000
    -16.66833417       0.16198689      0.12509752       0.01844396       0.01844540       0.00000000
    -16.65332666       0.16200948      0.12494766       0.01853025       0.01853157       0.00000000
    -16.63831916       0.16204415      0.12480773       0.01861765       0.01861877       0.00000000
    -16.62331166       0.16208195      0.12467104       0.01870502       0.01870589       0.00000000
    -16.60830415       0.16211165      0.12452903       0.01879102       0.01879160       0.00000000
    -16.59329665       0.16212523      0.12437546       0.01887475       0.01887502       0.00000000
    -16.57828914       0.16212211      0.12420967       0.01895625       0.01895620       0.00000000
    -16.56328164       0.16210982      0.12403718       0.01903650       0.01903614       0.00000000
    -16.54827414       0.16210079      0.12386733       0.01911705       0.01911641       0.00000000
    -16.53326663       0.16210652      0.12370893       0.01919925       0.01919835       0.00000000
    -16.51825913       0.16213193      0.12356590       0.01928358       0.01928245       0.00000000
    -16.50325163       0.16217260      0.12343516       0.01936938       0.01936806       0.00000000
    -16.48824412       0.16221645      0.12330775       0.01945509       0.01945361       0.00000000
    -16.47323662       0.16224908      0.12317283       0.01953892       0.01953733       0.00000000
    -16.45822911       0.16226060      0.12302279       0.01961973       0.01961808       0.00000000
    -16.44322161       0.16225052      0.12285699       0.01969760       0.01969594       0.00000000
    -16.42821411       0.16222852      0.12268244       0.01977384       0.01977224       0.00000000
    -16.41320660       0.16221039      0.12251086       0.01985051       0.01984902       0.00000000
    -16.39819910       0.16221095      0.12235343       0.01992942       0.01992809       0.00000000
    -16.38319160       0.16223716      0.12221560       0.02001135       0.02001021       0.00000000
    -16.36818409       0.16228445      0.12209426       0.02009555       0.02009464       0.00000000
    -16.35317659       0.16233835      0.12197886       0.02018008       0.02017941       0.00000000
    -16.33816908       0.16238060      0.12185588       0.02026259       0.02026213       0.00000000
    -16.32316158       0.16239736      0.12171485       0.02034139       0.02034112       0.00000000
    -16.30815408       0.16238568      0.12155331       0.02041625       0.02041612       0.00000000
    -16.29314657       0.16235535      0.12137819       0.02048861       0.02048855       0.00000000
    -16.27813907       0.16232510      0.12120317       0.02056098       0.02056095       0.00000000
    -16.26313157       0.16231461      0.12104281       0.02063593       0.02063586       0.00000000
    -16.24812406       0.16233578      0.12090615       0.02071489       0.02071474       0.00000000
    -16.23311656       0.16238716      0.12079246       0.02079748       0.02079722       0.00000000
    -16.21810905       0.16245397      0.12069118       0.02088159       0.02088120       0.00000000
    -16.20310155       0.16251403      0.12058615       0.02096420       0.02096369       0.00000000
    -16.18809405       0.16254716      0.12046245       0.02104267       0.02104204       0.00000000
    -16.17308654       0.16254401      0.12031292       0.02111591       0.02111518       0.00000000
    -16.15807904       0.16251058      0.12014157       0.02118491       0.02118410       0.00000000
    -16.14307154       0.16246628      0.11996227       0.02125245       0.02125156       0.00000000
    -16.12806403       0.16243615      0.11979322       0.02132195       0.02132098       0.00000000
    -16.11305653       0.16244045      0.11964934       0.02139607       0.02139504       0.00000000
    -16.09804902       0.16248583      0.11953585       0.02147555       0.02147443       0.00000000
    -16.08304152       0.16256205      0.11944573       0.02155876       0.02155755       0.00000000
    -16.06803402       0.16264560      0.11936223       0.02164234       0.02164104       0.00000000
    -16.05302651       0.16270909      0.11926554       0.02172247       0.02172108       0.00000000
