# NDIV =     2000 dE=      0.01500750
#    energy (ev)           dos 
    -13.35167584       0.15581170
    -13.33666833       0.15183847
    -13.32166083       0.14783913
    -13.30665333       0.14415469
    -13.29164582       0.14105533
    -13.27663832       0.13867020
    -13.26163082       0.13696821
    -13.24662331       0.13579585
    -13.23161581       0.13495964
    -13.21660830       0.13432670
    -13.20160080       0.13391123
    -13.18659330       0.13391913
    -13.17158579       0.13473577
    -13.15657829       0.13685837
    -13.14157079       0.14079067
    -13.12656328       0.14692708
    -13.11155578       0.15545638
    -13.09654827       0.16630799
    -13.08154077       0.17915263
    -13.06653327       0.19345414
    -13.05152576       0.20855718
    -13.03651826       0.22378803
    -13.02151076       0.23854473
    -13.00650325       0.25235857
    -12.99149575       0.26491851
    -12.97648824       0.27606095
    -12.96148074       0.28573582
    -12.94647324       0.29396444
    -12.93146573       0.30080360
    -12.91645823       0.30632495
    -12.90145073       0.31061172
    -12.88644322       0.31376760
    -12.87143572       0.31592886
    -12.85642821       0.31727002
    -12.84142071       0.31799735
    -12.82641321       0.31832933
    -12.81140570       0.31846908
    -12.79639820       0.31857673
    -12.78139070       0.31875057
    -12.76638319       0.31902237
    -12.75137569       0.31936832
    -12.73636818       0.31973158
    -12.72136068       0.32004938
    -12.70635318       0.32027665
    -12.69134567       0.32039982
    -12.67633817       0.32043820
    -12.66133067       0.32043417
    -12.64632316       0.32043692
    -12.63131566       0.32048604
    -12.61630815       0.32060026
    -12.60130065       0.32077484
    -12.58629315       0.32098732
    -12.57128564       0.32120888
    -12.55627814       0.32141667
    -12.54127064       0.32160293
    -12.52626313       0.32177835
    -12.51125563       0.32196987
    -12.49624812       0.32221506
    -12.48124062       0.32255647
    -12.46623312       0.32303839
    -12.45122561       0.32370705
    -12.43621811       0.32461324
    -12.42121061       0.32581541
    -12.40620310       0.32738149
    -12.39119560       0.32938826
    -12.37618809       0.33191845
    -12.36118059       0.33505628
    -12.34617309       0.33888187
    -12.33116558       0.34346455
    -12.31615808       0.34885467
    -12.30115058       0.35507357
    -12.28614307       0.36210203
    -12.27113557       0.36986858
    -12.25612806       0.37823995
    -12.24112056       0.38701591
    -12.22611306       0.39593096
    -12.21110555       0.40466442
    -12.19609805       0.41285937
    -12.18109055       0.42014987
    -12.16608304       0.42619408
    -12.15107554       0.43070938
    -12.13606803       0.43350435
    -12.12106053       0.43450172
    -12.10605303       0.43374762
    -12.09104552       0.43140436
    -12.07603802       0.42772765
    -12.06103052       0.42303223
    -12.04602301       0.41765274
    -12.03101551       0.41190702
    -12.01600800       0.40606826
    -12.00100050       0.40034909
    -11.98599300       0.39489776
    -11.97098549       0.38980381
    -11.95597799       0.38510879
    -11.94097049       0.38081847
    -11.92596298       0.37691381
    -11.91095548       0.37335985
    -11.89594797       0.37011296
    -11.88094047       0.36712696
    -11.86593297       0.36435849
    -11.85092546       0.36177102
    -11.83591796       0.35933675
    -11.82091046       0.35703609
    -11.80590295       0.35485501
    -11.79089545       0.35278162
    -11.77588794       0.35080363
    -11.76088044       0.34890771
    -11.74587294       0.34708080
    -11.73086543       0.34531241
    -11.71585793       0.34359633
    -11.70085043       0.34193068
    -11.68584292       0.34031601
    -11.67083542       0.33875248
    -11.65582791       0.33723760
    -11.64082041       0.33576566
    -11.62581291       0.33432913
    -11.61080540       0.33292129
    -11.59579790       0.33153845
    -11.58079040       0.33018074
    -11.56578289       0.32885087
    -11.55077539       0.32755168
    -11.53576788       0.32628382
    -11.52076038       0.32504471
    -11.50575288       0.32382937
    -11.49074537       0.32263248
    -11.47573787       0.32145063
    -11.46073037       0.32028335
    -11.44572286       0.31913260
    -11.43071536       0.31800111
    -11.41570785       0.31689045
    -11.40070035       0.31579999
    -11.38569285       0.31472720
    -11.37068534       0.31366893
    -11.35567784       0.31262286
    -11.34067034       0.31158822
    -11.32566283       0.31056554
    -11.31065533       0.30955565
    -11.29564782       0.30855872
    -11.28064032       0.30757402
    -11.26563282       0.30660045
    -11.25062531       0.30563752
    -11.23561781       0.30468584
    -11.22061031       0.30374674
    -11.20560280       0.30282109
    -11.19059530       0.30190801
    -11.17558779       0.30100446
    -11.16058029       0.30010635
    -11.14557279       0.29921059
    -11.13056528       0.29831725
    -11.11555778       0.29743019
    -11.10055028       0.29655563
    -11.08554277       0.29569897
    -11.07053527       0.29486143
    -11.05552776       0.29403845
    -11.04052026       0.29322099
    -11.02551276       0.29239955
    -11.01050525       0.29156905
    -10.99549775       0.29073211
    -10.98049025       0.28989871
    -10.96548274       0.28908189
    -10.95047524       0.28829143
    -10.93546773       0.28752839
    -10.92046023       0.28678354
    -10.90545273       0.28604088
    -10.89044522       0.28528510
    -10.87543772       0.28450965
    -10.86043022       0.28372161
    -10.84542271       0.28294076
    -10.83041521       0.28219339
    -10.81540770       0.28150379
    -10.80040020       0.28088819
    -10.78539270       0.28035516
    -10.77038519       0.27991344
    -10.75537769       0.27958478
    -10.74037019       0.27941616
    -10.72536268       0.27948559
    -10.71035518       0.27989758
    -10.69534767       0.28076835
    -10.68034017       0.28220483
    -10.66533267       0.28428382
    -10.65032516       0.28703725
    -10.63531766       0.29044700
    -10.62031016       0.29444873
    -10.60530265       0.29894148
    -10.59029515       0.30379845
    -10.57528764       0.30887582
    -10.56028014       0.31401897
    -10.54527264       0.31906773
    -10.53026513       0.32386386
    -10.51525763       0.32826245
    -10.50025013       0.33214676
    -10.48524262       0.33544308
    -10.47023512       0.33813074
    -10.45522761       0.34024292
    -10.44022011       0.34185688
    -10.42521261       0.34307566
    -10.41020510       0.34400658
    -10.39519760       0.34474259
    -10.38019010       0.34535132
    -10.36518259       0.34587321
    -10.35017509       0.34632710
    -10.33516758       0.34671927
    -10.32016008       0.34705198
    -10.30515258       0.34732926
    -10.29014507       0.34755945
    -10.27513757       0.34775586
    -10.26013007       0.34793654
    -10.24512256       0.34812347
    -10.23011506       0.34834037
    -10.21510755       0.34860809
    -10.20010005       0.34893789
    -10.18509255       0.34932463
    -10.17008504       0.34974342
    -10.15507754       0.35015273
    -10.14007004       0.35050526
    -10.12506253       0.35076399
    -10.11005503       0.35091805
    -10.09504752       0.35099178
    -10.08004002       0.35104203
    -10.06503252       0.35114288
    -10.05002501       0.35136187
    -10.03501751       0.35173571
    -10.02001001       0.35225445
    -10.00500250       0.35286054
     -9.98999500       0.35346415
     -9.97498749       0.35397030
     -9.95997999       0.35430890
     -9.94497249       0.35445768
     -9.92996498       0.35445046
     -9.91495748       0.35436816
     -9.89994997       0.35431567
     -9.88494247       0.35439234
     -9.86993497       0.35466483
     -9.85492746       0.35514997
     -9.83991996       0.35581115
     -9.82491246       0.35656807
     -9.80990495       0.35731600
     -9.79489745       0.35794970
     -9.77988994       0.35838695
     -9.76488244       0.35858764
     -9.74987494       0.35856520
     -9.73486743       0.35838782
     -9.71985993       0.35816793
     -9.70485243       0.35804002
     -9.68984492       0.35812970
     -9.67483742       0.35852037
     -9.65982991       0.35922613
     -9.64482241       0.36017992
     -9.62981491       0.36124298
     -9.61480740       0.36223571
     -9.59979990       0.36298347
     -9.58479240       0.36336511
     -9.56978489       0.36335002
     -9.55477739       0.36301218
     -9.53976988       0.36251568
     -9.52476238       0.36207479
     -9.50975488       0.36189886
     -9.49474737       0.36213695
     -9.47973987       0.36283725
     -9.46473237       0.36393223
     -9.44972486       0.36525353
     -9.43471736       0.36657271
     -9.41970985       0.36765750
     -9.40470235       0.36832917
     -9.38969485       0.36850723
     -9.37468734       0.36823034
     -9.35967984       0.36764889
     -9.34467234       0.36699086
     -9.32966483       0.36650894
     -9.31465733       0.36642079
     -9.29964982       0.36685604
     -9.28464232       0.36782233
     -9.26963482       0.36919910
     -9.25462731       0.37076202
     -9.23961981       0.37223398
     -9.22461231       0.37335208
     -9.20960480       0.37393461
     -9.19459730       0.37393075
     -9.17958979       0.37343827
     -9.16458229       0.37268251
     -9.14957479       0.37196003
     -9.13456728       0.37156129
     -9.11955978       0.37169365
     -9.10455228       0.37242683
     -9.08954477       0.37367676
     -9.07453727       0.37523207
     -9.05952976       0.37681434
     -9.04452226       0.37815326
     -9.02951476       0.37905445
     -9.01450725       0.37944156
     -8.99949975       0.37936399
     -8.98449225       0.37897254
     -8.96948474       0.37847436
     -8.95447724       0.37808184
     -8.93946973       0.37796875
     -8.92446223       0.37824124
     -8.90945473       0.37892577
     -8.89444722       0.37997163
     -8.87943972       0.38126425
     -8.86443222       0.38264614
     -8.84942471       0.38394333
     -8.83441721       0.38499532
     -8.81940970       0.38568547
     -8.80440220       0.38596674
     -8.78939470       0.38587674
     -8.77438719       0.38553624
     -8.75937969       0.38512878
     -8.74437219       0.38486351
     -8.72936468       0.38492841
     -8.71435718       0.38544492
     -8.69934967       0.38643538
     -8.68434217       0.38781276
     -8.66933467       0.38939648
     -8.65432716       0.39095188
     -8.63931966       0.39224465
     -8.62431216       0.39309736
     -8.60930465       0.39343418
     -8.59429715       0.39330233
     -8.57928964       0.39286433
     -8.56428214       0.39236172
     -8.54927464       0.39205865
     -8.53426713       0.39217819
     -8.51925963       0.39284689
     -8.50425213       0.39406137
     -8.48924462       0.39568565
     -8.47423712       0.39748095
     -8.45922961       0.39916183
     -8.44422211       0.40046587
     -8.42921461       0.40122039
     -8.41420710       0.40138927
     -8.39919960       0.40108707
     -8.38419210       0.40055450
     -8.36918459       0.40009957
     -8.35417709       0.40001768
     -8.33916958       0.40051168
     -8.32416208       0.40163415
     -8.30915458       0.40326991
     -8.29414707       0.40516567
     -8.27913957       0.40699998
     -8.26413207       0.40847352
     -8.24912456       0.40939303
     -8.23411706       0.40972360
     -8.21910955       0.40959401
     -8.20410205       0.40925474
     -8.18909455       0.40900333
     -8.17408704       0.40910061
     -8.15907954       0.40970276
     -8.14407204       0.41082715
     -8.12906453       0.41235788
     -8.11405703       0.41408540
     -8.09904952       0.41576590
     -8.08404202       0.41718352
     -8.06903452       0.41820046
     -8.05402701       0.41878537
     -8.03901951       0.41901603
     -8.02401201       0.41905773
     -8.00900450       0.41912230
     -7.99399700       0.41941620
     -7.97898949       0.42008859
     -7.96398199       0.42119168
     -7.94897449       0.42266474
     -7.93396698       0.42434871
     -7.91895948       0.42603036
     -7.90395198       0.42750598
     -7.88894447       0.42864651
     -7.87393697       0.42944446
     -7.85892946       0.43002721
     -7.84392196       0.43063261
     -7.82891446       0.43155579
     -7.81390695       0.43308623
     -7.79889945       0.43545711
     -7.78389195       0.43882320
     -7.76888444       0.44327114
     -7.75387694       0.44885292
     -7.73886943       0.45562393
     -7.72386193       0.46366605
     -7.70885443       0.47308320
     -7.69384692       0.48396874
     -7.67883942       0.49635532
     -7.66383192       0.51016486
     -7.64882441       0.52517581
     -7.63381691       0.54101907
     -7.61880940       0.55720500
     -7.60380190       0.57317589
     -7.58879440       0.58837317
     -7.57378689       0.60230671
     -7.55877939       0.61461441
     -7.54377189       0.62510235
     -7.52876438       0.63375845
     -7.51375688       0.64073647
     -7.49874937       0.64631231
     -7.48374187       0.65082070
     -7.46873437       0.65458634
     -7.45372686       0.65786621
     -7.43871936       0.66081791
     -7.42371186       0.66350155
     -7.40870435       0.66591199
     -7.39369685       0.66802790
     -7.37868934       0.66985827
     -7.36368184       0.67146852
     -7.34867434       0.67297685
     -7.33366683       0.67452351
     -7.31865933       0.67622694
     -7.30365183       0.67814566
     -7.28864432       0.68026222
     -7.27363682       0.68249562
     -7.25862931       0.68473698
     -7.24362181       0.68689339
     -7.22861431       0.68892237
     -7.21360680       0.69084421
     -7.19859930       0.69272895
     -7.18359180       0.69466574
     -7.16858429       0.69672829
     -7.15357679       0.69895056
     -7.13856928       0.70132062
     -7.12356178       0.70379264
     -7.10855428       0.70630929
     -7.09354677       0.70882408
     -7.07853927       0.71131536
     -7.06353177       0.71378833
     -7.04852426       0.71626747
     -7.03351676       0.71878477
     -7.01850925       0.72136931
     -7.00350175       0.72404157
     -6.98849425       0.72681240
     -6.97348674       0.72968469
     -6.95847924       0.73265558
     -6.94347174       0.73571784
     -6.92846423       0.73886096
     -6.91345673       0.74207294
     -6.89844922       0.74534348
     -6.88344172       0.74866811
     -6.86843422       0.75205155
     -6.85342671       0.75550859
     -6.83841921       0.75906144
     -6.82341171       0.76273452
     -6.80840420       0.76654864
     -6.79339670       0.77051707
     -6.77838919       0.77464521
     -6.76338169       0.77893347
     -6.74837419       0.78338162
     -6.73336668       0.78799235
     -6.71835918       0.79277240
     -6.70335168       0.79773177
     -6.68834417       0.80288249
     -6.67333667       0.80823931
     -6.65832916       0.81382297
     -6.64332166       0.81966514
     -6.62831416       0.82581220
     -6.61330665       0.83232551
     -6.59829915       0.83927701
     -6.58329165       0.84674220
     -6.56828414       0.85479413
     -6.55327664       0.86350235
     -6.53826913       0.87293823
     -6.52326163       0.88318474
     -6.50825413       0.89434500
     -6.49324662       0.90654279
     -6.47823912       0.91990907
     -6.46323162       0.93455247
     -6.44822411       0.95051637
     -6.43321661       0.96772960
     -6.41820910       0.98596120
     -6.40320160       1.00479010
     -6.38819410       1.02359977
     -6.37318659       1.04160388
     -6.35817909       1.05790443
     -6.34317159       1.07157746
     -6.32816408       1.08177544
     -6.31315658       1.08783070
     -6.29814907       1.08934186
     -6.28314157       1.08622672
     -6.26813407       1.07873054
     -6.25312656       1.06738736
     -6.23811906       1.05294198
     -6.22311156       1.03624884
     -6.20810405       1.01816850
     -6.19309655       0.99948173
     -6.17808904       0.98083467
     -6.16308154       0.96271890
     -6.14807404       0.94548046
     -6.13306653       0.92934542
     -6.11805903       0.91444775
     -6.10305153       0.90084955
     -6.08804402       0.88855010
     -6.07303652       0.87748748
     -6.05802901       0.86754048
     -6.04302151       0.85853827
     -6.02801401       0.85028123
     -6.01300650       0.84257072
     -5.99799900       0.83524039
     -5.98299150       0.82818044
     -5.96798399       0.82134751
     -5.95297649       0.81475771
     -5.93796898       0.80846534
     -5.92296148       0.80253391
     -5.90795398       0.79700766
     -5.89294647       0.79189075
     -5.87793897       0.78713912
     -5.86293147       0.78266618
     -5.84792396       0.77836060
     -5.83291646       0.77411178
     -5.81790895       0.76983681
     -5.80290145       0.76550186
     -5.78789395       0.76113180
     -5.77288644       0.75680407
     -5.75787894       0.75262672
     -5.74287144       0.74870544
     -5.72786393       0.74510863
     -5.71285643       0.74184115
     -5.69784892       0.73883645
     -5.68284142       0.73597126
     -5.66783392       0.73309996
     -5.65282641       0.73009886
     -5.63781891       0.72690607
     -5.62281141       0.72354338
     -5.60780390       0.72011165
     -5.59279640       0.71675982
     -5.57778889       0.71363697
     -5.56278139       0.71084260
     -5.54777389       0.70839203
     -5.53276638       0.70620877
     -5.51775888       0.70414723
     -5.50275138       0.70203865
     -5.48774387       0.69974534
     -5.47273637       0.69720508
     -5.45772886       0.69445068
     -5.44272136       0.69159815
     -5.42771386       0.68880745
     -5.41270635       0.68622934
     -5.39769885       0.68395639
     -5.38269135       0.68199451
     -5.36768384       0.68026374
     -5.35267634       0.67862709
     -5.33766883       0.67693620
     -5.32266133       0.67507810
     -5.30765383       0.67300759
     -5.29264632       0.67075593
     -5.27763882       0.66841533
     -5.26263132       0.66610631
     -5.24762381       0.66393982
     -5.23261631       0.66198618
     -5.21760880       0.66025894
     -5.20260130       0.65871650
     -5.18759380       0.65727832
     -5.17258629       0.65584941
     -5.15757879       0.65434563
