# ATOM = 1 (spec = C )
# NDIV =     2000 dE=      0.01500750
#    energy (ev)        dos_total           orb-1            orb-2            orb-3            orb-4
    -15.93296648       0.16277342      0.11819628       0.02228857       0.02228857       0.00000000
    -15.91795898       0.16279788      0.11807664       0.02236062       0.02236062       0.00000000
    -15.90295148       0.16282120      0.11795690       0.02243215       0.02243215       0.00000000
    -15.88794397       0.16284283      0.11783665       0.02250309       0.02250309       0.00000000
    -15.87293647       0.16286310      0.11771608       0.02257351       0.02257351       0.00000000
    -15.85792896       0.16288310      0.11759597       0.02264357       0.02264357       0.00000000
    -15.84292146       0.16290435      0.11747738       0.02271349       0.02271349       0.00000000
    -15.82791396       0.16292822      0.11736129       0.02278346       0.02278346       0.00000000
    -15.81290645       0.16295536      0.11724821       0.02285357       0.02285357       0.00000000
    -15.79789895       0.16298546      0.11713796       0.02292375       0.02292375       0.00000000
    -15.78289145       0.16301730      0.11702972       0.02299379       0.02299379       0.00000000
    -15.76788394       0.16304916      0.11692229       0.02306344       0.02306344       0.00000000
    -15.75287644       0.16307952      0.11681459       0.02313246       0.02313246       0.00000000
    -15.73786893       0.16310759      0.11670605       0.02320077       0.02320077       0.00000000
    -15.72286143       0.16313374      0.11659687       0.02326844       0.02326844       0.00000000
    -15.70785393       0.16315936      0.11648801       0.02333567       0.02333567       0.00000000
    -15.69284642       0.16318646      0.11638087       0.02340280       0.02340280       0.00000000
    -15.67783892       0.16321690      0.11627676       0.02347007       0.02347007       0.00000000
    -15.66283142       0.16325173      0.11617647       0.02353763       0.02353763       0.00000000
    -15.64782391       0.16329075      0.11607990       0.02360542       0.02360542       0.00000000
    -15.63281641       0.16333252      0.11598611       0.02367320       0.02367320       0.00000000
    -15.61780890       0.16337486      0.11589361       0.02374062       0.02374062       0.00000000
    -15.60280140       0.16341562      0.11580091       0.02380736       0.02380736       0.00000000
    -15.58779390       0.16345348      0.11570705       0.02387322       0.02387322       0.00000000
    -15.57278639       0.16348851      0.11561204       0.02393823       0.02393823       0.00000000
    -15.55777889       0.16352219      0.11551688       0.02400266       0.02400266       0.00000000
    -15.54277139       0.16355700      0.11542324       0.02406688       0.02406688       0.00000000
    -15.52776388       0.16359553      0.11533293       0.02413130       0.02413130       0.00000000
    -15.51275638       0.16363959      0.11524725       0.02419617       0.02419617       0.00000000
    -15.49774887       0.16368952      0.11516649       0.02426152       0.02426152       0.00000000
    -15.48274137       0.16374404      0.11508985       0.02432710       0.02432710       0.00000000
    -15.46773387       0.16380060      0.11501562       0.02439249       0.02439249       0.00000000
    -15.45272636       0.16385628      0.11494181       0.02445723       0.02445723       0.00000000
